,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-02-15,3.30628166e+15,3.04409109e+15,2.33079903e+15,3.20314608e+15,3.66713112e+15,4.39430828e+15,7.77289598e+15,4.87897494e+15,3.74730796e+15,6.62607529e+15,6.18898989e+15,3.13090741e+15,3.13090741e+15,2.01531073e+15,1.40412832e+16,2.97088525e+15,2.4107085e+15,4.82924297e+15,6.65420733e+15,2.69414225e+15
2019-02-16,3.15656608e+15,2.90893759e+15,2.32145667e+15,2.9294313e+15,4.90854203e+15,4.62501352e+15,7.79896482e+15,4.33793549e+15,3.87021516e+15,5.04328052e+15,7.38430345e+15,3.43532664e+15,3.43532664e+15,1.95640579e+15,4.16335715e+15,3.62058281e+15,4.78978189e+15,3.00697747e+15,4.87950429e+15,3.10404507e+15
2019-02-17,3.17001416e+15,2.98924972e+15,2.3622551e+15,2.93719472e+15,4.6733464e+15,3.97026562e+15,8.47971875e+15,4.68600474e+15,4.03184713e+15,4.63100822e+15,6.18397659e+15,2.89286824e+15,2.89286824e+15,1.99968765e+15,7.10550424e+15,3.50673852e+15,1.82521615e+15,3.46840648e+15,6.7289462e+15,2.78290151e+15
2019-02-18,3.23048274e+15,2.97561669e+15,2.2380123e+15,2.89457952e+15,3.59131824e+15,4.38788542e+15,8.2048344e+15,4.15976629e+15,4.47076621e+15,4.36875054e+15,4.5563327e+15,3.33717831e+15,3.33717831e+15,1.96645386e+15,1.04119639e+16,4.18732468e+15,5.74699695e+15,3.49848199e+15,2.77197995e+15,3.25271859e+15
2019-02-19,3.20146701e+15,2.93087629e+15,2.5196831e+15,3.00072051e+15,4.24410871e+15,4.3788931e+15,8.59791518e+15,4.24976491e+15,4.5394159e+15,5.26732642e+15,3.39180171e+15,3.00210054e+15,3.00210054e+15,2.07156312e+15,-1.267651e+30,4.31685096e+15,2.18329629e+15,4.16225844e+15,5.50778499e+15,3.03177473e+15
2019-02-20,3.19010897e+15,2.96953583e+15,2.47433764e+15,3.07510934e+15,4.15112401e+15,4.59947994e+15,3.3815966e+15,4.05103248e+15,4.2610953e+15,4.65086171e+15,4.63395135e+15,3.44484026e+15,3.44484026e+15,2.20413172e+15,9.10028301e+15,4.41035562e+15,1.6739427e+15,-1.267651e+30,7.32413149e+15,3.18016881e+15
2019-02-21,3.21941514e+15,3.03034666e+15,2.48090599e+15,2.93519998e+15,5.27365022e+15,4.81037948e+15,8.11542714e+15,3.66151545e+15,4.3830764e+15,5.79784078e+15,4.82483687e+15,3.3636839e+15,3.3636839e+15,2.07598117e+15,,3.91116929e+15,1.47681806e+15,4.03407273e+15,4.3197804e+15,3.10143615e+15
2019-02-22,3.0352354e+15,3.07017469e+15,2.62680522e+15,3.19667812e+15,4.6327203e+15,4.33465494e+15,2.6010134e+15,4.52577454e+15,4.48258731e+15,3.21117417e+15,4.71610065e+15,3.49410676e+15,3.49410676e+15,2.0042073e+15,2.16928383e+16,3.97501451e+15,3.67505507e+15,2.66727348e+15,6.35056817e+15,2.78785415e+15
2019-02-23,3.13893551e+15,2.8991346e+15,2.45825889e+15,2.82549792e+15,5.92585604e+15,4.27084891e+15,4.82019885e+15,3.93763434e+15,4.26498628e+15,4.50593502e+15,5.16638932e+15,3.50661102e+15,3.50661102e+15,2.06819063e+15,1.21231175e+16,3.99678624e+15,3.21696567e+15,3.95293248e+15,8.00769809e+15,2.88551338e+15
2019-02-24,3.10439753e+15,2.95565181e+15,2.41445479e+15,2.9963077e+15,4.89435199e+15,4.81544056e+15,5.17382068e+15,4.87364757e+15,3.98488811e+15,4.6716268e+15,6.67517804e+15,3.18650818e+15,3.18650818e+15,1.94115396e+15,8.94856329e+15,4.18674647e+15,3.10896603e+15,3.96366667e+15,8.00283994e+15,3.10133119e+15
2019-02-25,3.46618249e+15,3.02422901e+15,2.44652746e+15,2.79708188e+15,5.14739482e+15,5.0396604e+15,6.75463869e+15,4.37568423e+15,4.05145741e+15,4.67940284e+15,4.52946124e+15,3.44404059e+15,3.44404059e+15,2.06147384e+15,1.53085766e+16,4.25991929e+15,2.8415211e+15,5.87191286e+15,5.67671518e+15,3.56915997e+15
2019-02-26,3.2692424e+15,2.96765892e+15,2.44169884e+15,2.9510068e+15,4.19420092e+15,3.54944741e+15,6.98613421e+15,4.74818137e+15,3.98776976e+15,5.20894654e+15,6.7906375e+15,3.08107478e+15,3.08107478e+15,2.20072245e+15,1.10270633e+16,3.64358477e+15,2.15628444e+15,3.81116849e+15,7.69829723e+15,3.24619426e+15
2019-02-27,3.08404046e+15,2.94020791e+15,2.42293225e+15,2.8183205e+15,4.06874251e+15,2.94551837e+15,7.13590509e+15,4.20098294e+15,4.22210693e+15,3.25115227e+15,4.14601434e+15,3.84317781e+15,3.84317781e+15,2.14244055e+15,2.21237073e+16,3.54771305e+15,3.69783128e+15,3.29556813e+15,6.37285046e+15,2.7561385e+15
2019-02-28,-1.267651e+30,2.86150881e+15,-1.267651e+30,-1.267651e+30,5.80386232e+15,4.24452237e+15,1.19463356e+16,4.01706251e+15,4.20999137e+15,5.80854974e+15,4.9574864e+15,-1.267651e+30,-1.267651e+30,2.34417248e+15,6.20403946e+15,3.3430847e+15,2.23740496e+15,3.86520133e+15,1.72790252e+15,1.87597528e+15
2019-03-01,3.08361687e+15,-1.267651e+30,2.33758722e+15,3.09120258e+15,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,3.39996725e+15,3.39996725e+15,1.76915702e+15,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,2.89986448e+15
2019-03-02,3.23424003e+15,2.87169459e+15,2.33364578e+15,2.82968095e+15,4.48061618e+15,3.02711416e+15,2.62708681e+15,4.0398449e+15,3.98773862e+15,4.82762753e+15,5.6889655e+15,3.47446748e+15,3.47446748e+15,2.35525967e+15,-1.267651e+30,3.38400634e+15,2.12461832e+15,2.11293869e+15,2.82409132e+15,2.65916297e+15
2019-03-03,2.9836719e+15,3.08026062e+15,2.38933809e+15,3.1291913e+15,4.30181911e+15,3.67845991e+15,2.88875957e+15,4.41932968e+15,4.67859377e+15,4.13897059e+15,2.92308012e+15,2.84079042e+15,2.84079042e+15,2.31097238e+15,1.42035062e+16,3.53430013e+15,1.68139447e+15,2.85220054e+15,3.01418282e+15,2.59188794e+15
2019-03-04,3.15779095e+15,2.87673286e+15,2.35463395e+15,2.70071516e+15,5.02343187e+15,4.52218019e+15,5.50148535e+15,3.96965574e+15,5.12926899e+15,3.74122038e+15,4.36680519e+15,3.36175116e+15,3.36175116e+15,2.40923748e+15,5.47909515e+15,4.01915255e+15,1.9257569e+15,,3.99248214e+15,3.11127619e+15
2019-03-05,3.12214084e+15,2.8913948e+15,2.44805324e+15,2.65065034e+15,4.53945079e+15,4.32155288e+15,6.18852174e+15,4.79452192e+15,4.37534519e+15,5.42643133e+15,6.23589845e+15,2.91017293e+15,2.91017293e+15,2.41301034e+15,1.145107e+16,5.11760869e+15,1.73244794e+15,3.94419222e+15,4.3306174e+15,3.81767885e+15
