,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-03-22,43.9337616,34.4372787,60.9198189,50.9863777,39.8700066,45.1652908,54.4564056,40.2149048,39.1429787,50.3547134,59.3006783,36.4637527,36.4637527,71.2172318,45.9660416,48.1412239,66.5035858,31.2038403,68.7428589,52.4380379
2019-03-23,44.2614403,34.2193108,61.9678764,50.8925667,38.9660759,47.0868874,57.6306953,31.7230434,37.3879318,48.2883911,60.2687035,36.3172302,36.3172302,69.9582748,59.0366364,47.139801,65.420578,38.38974,60.9199371,55.7258873
2019-03-24,40.6114922,39.81427,59.4199486,46.7203979,35.1343269,50.6137047,53.7986794,37.8518791,39.3561516,49.2384148,58.5569916,28.3340168,28.3340168,70.1718979,44.1515961,47.8428192,63.236557,42.4910088,63.4467964,55.859417
2019-03-25,44.8091431,45.7600594,59.3291702,50.2710419,39.3668175,50.6287918,62.9632301,33.1931,46.959568,49.6867027,59.6497307,35.3486786,35.3486786,68.8870239,47.4247055,44.7734261,65.4309998,51.785965,58.012291,55.1833572
2019-03-26,43.7068291,40.0814552,60.4381409,44.9487686,41.6765099,43.7805405,56.9360352,35.3283463,50.8470078,59.2449799,57.884922,34.6212006,34.6212006,66.5764542,43.6137733,38.5224838,66.8921127,48.2969589,65.6428757,50.2500954
2019-03-27,49.1909256,39.491169,61.6757317,54.3925552,39.549881,49.5761337,65.3365402,31.1344147,50.7014771,57.4478073,51.67873,40.9698563,40.9698563,66.5317154,44.7564163,38.6908798,75.6871185,57.2090187,71.9317856,50.4355888
2019-03-28,46.2546806,32.9391098,62.5270805,45.2383881,38.286953,52.7704811,65.6126556,31.8276272,50.6582489,59.7376823,59.0261192,29.2314377,29.2314377,66.4455795,42.9604645,39.3191566,73.1215744,55.3474045,66.2127457,52.9122696
2019-03-29,46.2619781,41.1402168,59.3375435,55.076416,37.5836449,49.8838539,57.8954735,33.5862732,35.17416,53.7028923,57.1754608,36.3103294,36.3103294,66.5627747,49.8022194,45.636776,74.2748032,49.3907089,65.0777283,55.4989243
2019-03-30,47.3321915,34.1565208,61.2767792,53.87957,37.5833435,46.0682945,48.5025711,31.8741398,39.9335289,44.298584,62.6100731,28.8955975,28.8955975,65.2066116,57.6229477,47.8139801,70.3607025,40.6019287,61.0060959,52.0307808
2019-03-31,44.8582077,32.9431572,57.6558609,57.5008736,37.1040878,44.0813751,50.3580475,36.795166,33.2181969,45.7922783,56.5514641,31.5579758,31.5579758,64.0317078,55.1581001,59.8867836,67.1567459,37.8645973,63.4915886,48.7893677
