,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-02-06,37.6239548,44.9903488,30.1251774,27.2323856,5.71285391,6.6610961,3.37160635,32.1394272,17.1992741,11.7287235,8.84789467,30.4935551,30.4935551,-21.9815731,11.7301273,18.1010685,-11.6578426,1.31636965,5.10500479,1.55593264
2019-02-07,36.3555832,45.2050095,32.1393051,24.1794071,3.26531363,8.61925697,2.96859121,30.8019047,21.205286,12.22085,9.97057533,29.9921513,29.9921513,-21.9210567,6.59526968,17.0301456,-8.58160973,-0.0592407212,5.81554556,1.7699219
2019-02-08,36.9510422,45.2678452,31.8521366,25.1567936,1.37908328,9.35170937,3.90957022,30.5005741,20.3155155,12.3063908,3.89916372,29.0622196,29.0622196,-21.0290432,7.31047964,17.2272892,-6.66470957,2.82836294,0.677697778,0.548913598
2019-02-09,36.5808945,44.8478622,32.1219711,22.6578007,0.370996088,11.5588322,5.92940664,25.9469547,22.4588871,12.7374821,4.79577017,27.4889164,27.4889164,-20.9687252,5.00463247,16.1802006,-8.49445152,4.47573233,6.24993277,-0.180975348
2019-02-10,34.3179245,46.8478012,31.9891911,23.929285,0.649469018,5.75957632,3.63869619,29.8525944,16.3065739,11.9381351,3.94173574,29.3647099,29.3647099,-19.7227383,5.24639273,12.8886967,-5.1942811,2.8520751,4.56255484,-0.395208746
2019-02-11,32.1350632,47.9878159,31.9794559,26.256403,3.17095327,6.9166503,3.28710318,25.5056095,15.7731571,10.3660831,5.40810537,28.0978947,28.0978947,-19.6008816,6.62587881,16.3224735,-5.55826426,-1.81290281,7.79369497,0.859277368
2019-02-12,29.8343754,47.1266098,32.4965744,24.3820438,4.06389761,10.253046,2.44658804,32.2132492,12.0513859,11.0793705,6.8762145,29.7099857,29.7099857,-18.987875,9.23143959,17.1806583,-3.97199106,1.69802248,6.38796377,3.59728384
2019-02-13,35.1326218,46.9771042,30.9941654,26.4884892,3.85625601,11.566309,5.80562735,30.6073551,17.4258366,11.9138126,6.26671743,31.2539005,31.2539005,-17.2578335,7.08684683,14.929285,-0.466802984,4.73409414,7.18694448,4.06450796
2019-02-14,33.0617294,47.2622299,30.3525028,20.5483341,5.12947989,14.4127445,9.73681068,32.916069,20.8467045,13.2480106,4.7197814,32.0466232,32.0466232,-16.0954647,9.07909584,18.2575016,1.13466799,7.94802237,10.0258427,3.61068106
2019-02-15,34.9278183,47.7742538,30.3439579,28.3620853,3.77126455,15.2484379,11.3460941,33.3616562,21.8261662,14.2003422,4.65123892,33.5807419,33.5807419,-14.9779415,9.75542641,20.0324955,2.0536437,7.1975646,10.7076969,2.79717398
2019-02-16,35.4005966,49.0178452,29.4702702,23.8930912,4.23705435,15.7577457,12.9693851,29.4759464,17.5314274,14.8893375,9.09115028,30.9756718,30.9756718,-14.1660519,6.43261099,18.7566166,1.27385867,8.6116581,7.79097891,1.70678103
2019-02-17,36.7816391,49.3714828,29.0223637,26.595789,3.52190542,15.9494572,12.5014896,31.9475346,14.556818,14.7605839,7.1383605,31.509119,31.509119,-14.1795712,9.19298744,19.3113956,-2.74649668,8.37618446,7.65410757,1.91115725
2019-02-18,36.1693649,49.0682602,29.1651554,23.7354679,4.39702749,13.7329044,13.6137638,27.1094303,21.5695133,15.638483,11.1665592,28.8453617,28.8453617,-14.5023251,7.91851187,15.8445988,-1.04099119,8.6960392,4.25933218,-0.523352027
2019-02-19,37.1731491,48.5268784,31.233057,21.9086246,4.99129629,12.7471561,8.98546791,33.2160568,16.5077763,14.233057,10.024622,28.685297,28.685297,-14.3532467,6.97188711,17.465662,-2.44949961,7.88305044,6.08797598,-2.5904603
2019-02-20,37.0186691,48.2551193,30.1788273,26.1085453,7.70836782,14.4287968,10.5280094,27.9473515,19.460535,14.9721012,13.2195988,29.8920841,29.8920841,-14.3663998,7.86803579,17.9692936,-4.2328248,8.2908268,6.3475585,-0.00607910147
2019-02-21,35.2829514,48.3962021,32.2449875,13.8691654,9.27221107,17.0665531,9.14538002,35.7323532,21.5500126,15.2529545,10.7787418,31.0848637,31.0848637,-13.9176998,10.700983,19.7837162,-11.0474911,9.69487953,12.1501102,1.18947756
2019-02-22,36.448143,48.6803513,30.8510685,25.3888187,8.17824745,17.1712284,6.81420279,35.5097275,21.9522953,15.9626408,10.4641666,28.8829594,28.8829594,-14.1684933,11.7176151,22.6631413,-2.55396128,8.60976601,12.6686344,1.59401858
